epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28502.6,1.67508,1.58933,1.63322,0.37209,0.24332,0.2123,0.07391,2.12111,3.61728,2.15311,0.000540037,0.000540037,0.000540037
43,29479.8,1.66739,1.59381,1.63135,0.41616,0.22552,0.22432,0.07819,2.07172,3.57208,2.16332,0.000531038,0.000531038,0.000531038
44,29845.4,1.67802,1.56097,1.63846,0.381,0.24184,0.21598,0.07876,2.07682,3.4888,2.1265,0.000522039,0.000522039,0.000522039
45,30250.9,1.66824,1.5934,1.63515,0.40536,0.21365,0.20404,0.06942,2.1016,3.66039,2.17671,0.00051304,0.00051304,0.00051304
46,31000.8,1.65763,1.58927,1.63904,0.39136,0.23145,0.24295,0.0869,2.07719,3.59596,2.14255,0.00050404,0.00050404,0.00050404
47,31701.3,1.64205,1.54072,1.62717,0.38024,0.23758,0.22872,0.07695,2.10286,3.55885,2.18056,0.000495041,0.000495041,0.000495041
48,32442.9,1.64223,1.56805,1.63994,0.36828,0.2181,0.21632,0.07808,2.09629,3.51487,2.18073,0.000486042,0.000486042,0.000486042
49,33180.9,1.63057,1.5293,1.615,0.34265,0.2181,0.19794,0.06901,2.06689,3.82566,2.18079,0.000477043,0.000477043,0.000477043
50,33818.3,1.66313,1.54706,1.66356,0.37934,0.21365,0.17822,0.06138,2.12103,3.53644,2.21437,0.000468044,0.000468044,0.000468044
51,34497.7,1.64836,1.55996,1.63308,0.41048,0.22849,0.21187,0.07586,2.05801,3.65003,2.13022,0.000459045,0.000459045,0.000459045
52,34896,1.60051,1.49525,1.589,0.38376,0.24481,0.21595,0.07169,2.08747,3.62427,2.16877,0.000450046,0.000450046,0.000450046
53,35251.9,1.6177,1.51427,1.60498,0.36508,0.21513,0.20403,0.06935,2.11857,3.68404,2.19582,0.000441047,0.000441047,0.000441047
54,38326.3,1.61167,1.50384,1.60498,0.36413,0.2294,0.22151,0.07989,2.10604,3.63207,2.20172,0.000432048,0.000432048,0.000432048
55,39341,1.56465,1.44352,1.56651,0.34306,0.21068,0.19019,0.0649,2.11628,3.92557,2.21074,0.000423049,0.000423049,0.000423049
56,40384.3,1.58041,1.4542,1.59378,0.40482,0.22107,0.20123,0.07138,2.1041,3.68599,2.20213,0.000414049,0.000414049,0.000414049
57,41239.5,1.57292,1.46959,1.56999,0.36322,0.23443,0.232,0.08636,2.14857,3.63388,2.23611,0.00040505,0.00040505,0.00040505
58,41848.2,1.59202,1.47826,1.5938,0.38563,0.23145,0.2114,0.07167,2.11944,3.70521,2.20937,0.000396051,0.000396051,0.000396051
59,42622.8,1.56236,1.4553,1.5733,0.42544,0.22404,0.22395,0.07947,2.11194,3.80564,2.21681,0.000387052,0.000387052,0.000387052
60,43335.1,1.56078,1.43822,1.58155,0.40046,0.18546,0.18841,0.06669,2.13688,3.7242,2.20976,0.000378053,0.000378053,0.000378053
61,44161.1,1.55728,1.44559,1.57707,0.37826,0.22849,0.21896,0.07505,2.16733,3.75355,2.23295,0.000369054,0.000369054,0.000369054
62,44892.5,1.54688,1.41763,1.58005,0.37346,0.21513,0.20166,0.07307,2.0901,3.69791,2.20872,0.000360055,0.000360055,0.000360055
63,45736,1.55246,1.41494,1.56578,0.41015,0.23294,0.22495,0.07912,2.12853,3.72053,2.20353,0.000351056,0.000351056,0.000351056
64,46821.4,1.53349,1.38825,1.55623,0.42427,0.22851,0.20937,0.06718,2.15649,3.83195,2.27601,0.000342057,0.000342057,0.000342057
65,47887.9,1.52407,1.35888,1.53695,0.45667,0.22255,0.21721,0.0749,2.15319,3.87733,2.26253,0.000333058,0.000333058,0.000333058
66,48958.9,1.49749,1.40838,1.52758,0.41182,0.19585,0.18617,0.06344,2.13177,3.90056,2.23438,0.000324058,0.000324058,0.000324058
67,50070.3,1.51562,1.35183,1.52747,0.38435,0.20326,0.19096,0.06813,2.13934,3.85065,2.25356,0.000315059,0.000315059,0.000315059
68,50804.8,1.48808,1.36642,1.52305,0.42438,0.22255,0.21596,0.07174,2.15143,3.78757,2.28832,0.00030606,0.00030606,0.00030606
69,51302.9,1.50101,1.34744,1.52681,0.4361,0.22997,0.22016,0.08005,2.11409,3.77367,2.24526,0.000297061,0.000297061,0.000297061
70,52018.2,1.52701,1.35361,1.53704,0.48897,0.19875,0.22642,0.07838,2.11355,3.81855,2.26031,0.000288062,0.000288062,0.000288062
71,52711.5,1.47525,1.32526,1.51757,0.49582,0.2003,0.22378,0.08017,2.1573,3.79408,2.30271,0.000279063,0.000279063,0.000279063
72,53424.5,1.50373,1.33301,1.53319,0.43501,0.22255,0.22934,0.07816,2.15319,3.92158,2.30597,0.000270064,0.000270064,0.000270064
73,54208.7,1.46894,1.30908,1.49994,0.41162,0.21513,0.20731,0.0742,2.18311,3.85686,2.33157,0.000261065,0.000261065,0.000261065
74,54889.7,1.48509,1.33682,1.523,0.39064,0.22849,0.2051,0.07271,2.1564,3.85246,2.29455,0.000252066,0.000252066,0.000252066
75,55615.7,1.43385,1.29577,1.48594,0.4228,0.227,0.22972,0.07996,2.15462,3.79521,2.28768,0.000243067,0.000243067,0.000243067
76,56323.6,1.47447,1.30555,1.49847,0.35011,0.22552,0.19308,0.06614,2.15891,3.84965,2.30389,0.000234068,0.000234068,0.000234068
77,57055.9,1.43871,1.2913,1.47016,0.4251,0.21513,0.19328,0.06982,2.16294,3.88575,2.3213,0.000225068,0.000225068,0.000225068
78,58003.6,1.45063,1.27642,1.47642,0.40827,0.22828,0.2185,0.07804,2.17738,3.8541,2.3517,0.000216069,0.000216069,0.000216069
79,59081.3,1.43352,1.27869,1.48321,0.39562,0.22255,0.20193,0.06924,2.1619,3.89424,2.31041,0.00020707,0.00020707,0.00020707
80,391.963,1.42722,1.28192,1.47128,0.56428,0.39547,0.27713,0.10139,2.17607,1.87853,2.26547,0.000198071,0.000198071,0.000198071
81,817.648,1.42246,1.26533,1.48168,0.57913,0.3569,0.31048,0.10835,2.16553,1.84477,2.25506,0.000189072,0.000189072,0.000189072
82,1220.13,1.43704,1.27071,1.49835,0.45257,0.35726,0.32572,0.1182,2.16077,1.80398,2.24371,0.000180073,0.000180073,0.000180073
83,1615.21,1.4188,1.23824,1.46949,0.59819,0.34793,0.32086,0.10812,2.15334,1.80313,2.25127,0.000171074,0.000171074,0.000171074
84,2339.47,1.39801,1.22454,1.45416,0.63201,0.32711,0.31347,0.10519,2.17792,1.84195,2.26575,0.000162075,0.000162075,0.000162075
85,3236.14,1.40239,1.21905,1.46849,0.54926,0.29756,0.24906,0.1006,2.15801,1.84671,2.2532,0.000153076,0.000153076,0.000153076
86,4030.95,1.39763,1.24235,1.46884,0.56488,0.35271,0.3159,0.10757,2.18637,1.80931,2.2957,0.000144077,0.000144077,0.000144077
87,4772.5,1.37794,1.21974,1.43802,0.63384,0.32851,0.31985,0.1208,2.17403,1.83289,2.27009,0.000135077,0.000135077,0.000135077
88,5379.6,1.39719,1.24138,1.46339,0.58261,0.35163,0.32809,0.12403,2.15251,1.79885,2.25649,0.000126078,0.000126078,0.000126078
89,5886.44,1.39134,1.20915,1.45126,0.56261,0.38045,0.32242,0.11622,2.15232,1.83012,2.25791,0.000117079,0.000117079,0.000117079
90,6269.59,1.36579,1.19016,1.43197,0.56869,0.36119,0.32582,0.11334,2.15517,1.81931,2.27118,0.00010808,0.00010808,0.00010808
